,LOC,ADDR,CCTV_YN,CCTV_CNT,ROAD_BT,LATITUDE,LONGITUDE
257,광림어린이집,경기도 용인시 기흥구 중동 419-1번지,N,1,6,37.2633844,127.1559934
258,시립영덕어린이집,경기도 용인시 기흥구 영덕동 1090번지,Y,1,10,37.2769977,127.0895997
259,시립죽전어린이집,경기도 용인시 수지구 죽전동 1375-1번지,Y,1,28,37.3322604,127.1283732
260,하바어린이집,경기도 용인시 수지구 풍덕천동 1156번지,Y,1,6~12,37.3176961,127.0937726
261,방주어린이집,경기도 용인시 수지구 상현동 78-32번지 방주교회,Y,1,25,37.3101740,127.0846712
262,코코스어린이집,경기도 용인시 기흥구 청덕동 298-19번지,Y,1,6,37.2950219,127.1558287
263,이현초등학교,경기도 용인시 기흥구 보정동 1164번지,Y,2,8,37.3100092,127.0929373
264,늘푸른유치원,경기도 포천시 군내면 구읍리 574-3,Y,3,13,37.8926316,127.2064573
265,별님이꿈꾸는마을어린이집,경기도 포천시 이동면 연곡리 872-14,Y,3,6,38.0181217,127.3690272
266,가산어린이집,경기도 포천시 가산면 마산리 601-1,N,0,6,37.8484029,127.1863560
267,관인어린이집,경기도 포천시 관인면 탄동리 1000,Y,3,6,38.1588816412,127.252210415
268,군내어린이집,경기도 포천시 군내면 좌의리 305-5,Y,2,6,37.8582232,127.2158790
269,반월어린이집,경기도 포천시 군내면 하성북리 610,Y,3,13,37.8955697,127.2119504
270,신포천어린이집,경기도 포천시 신읍동 229-1,Y,2,6,37.9031079,127.2011789
271,포천어린이집,경기도 포천시 신읍동 135-17,Y,4,6,37.8964202,127.1987339
272,화현어린이집,경기도 포천시 화현면 화현리 874-31,Y,3,6,37.9011758,127.2878919
273,장미어린이집,경기도 이천시 장호원읍 송산리 484번지,Y,1,5,37.1186064,127.5814637
274,파란새싹어린이집,경기도 이천시 부발읍 무촌리 166-36번지,Y,1,4,37.2839315,127.4876009430
